company_name,funding_total_usd,total_funding_for_year
Consumer Agent Portal (CAP),40600000.0,83218390.0
Contactually,4000000.0,83218390.0
CradlePoint Technology,17628255.0,259642822.0
Crimson Hexagon,11158362.0,227829943.0
CytoLogic,978637.0,7878637.0
D.light Design,22500000.0,227829943.0
Day Zero Project,40000.0,83218390.0
Debteye,0.0,140351726.0
Dee's Ventures,0.0,37600600.0
Degreed,2700000.0,57933192.0
Differential Dynamics,1177822.0,233384724.0
DoorDash,19700000.0,85699097.0
Drais Pharmaceuticals,20000000.0,227829943.0
Dreamstreet Golf,40000.0,269323800.0
Drillster,428550.0,140351726.0
Drone.io,28000.0,57933192.0
ESL Consulting,2000000.0,37600600.0
Elance-oDesk,30000000.0,37600600.0
Ella Health,7100000.0,83218390.0
Empire Genomics,1000000.0,323702085.0
Energy Solutions International,9500000.0,15159444.0
Enliven Marketing Technologies,12310000.0,30408401.0
Enroute Systems,2642814.0,193517126.0
EventVue,455000.0,227829943.0
Evi,5190128.0,233384724.0
EvoApp,3352194.0,269323800.0
Exabeam,10000000.0,85699097.0
Exodus Payment Systems,987083.0,269323800.0
Experifun,335000.0,57933192.0
Extreme Wireless Communication,0.0,57933192.0
FANCY CELLAR - 品庄酒业,150000.0,85699097.0
FEMA Guides,0.0,85699097.0
FINXI,25000.0,140351726.0
Familink,48987.0,57933192.0
FastPay,50000000.0,269323800.0
FatSkunk,250000.0,269323800.0
Fieldglass,173287501.0,305740992.0
FilterSure,0.0,323702085.0
Flash Auto Detailing,1000.0,83218390.0
Floobits,0.0,85699097.0
Foodtoeat,500000.0,83218390.0
Full Circle CRM,4300000.0,140351726.0
GET Holding NV,5666100.0,227829943.0
GamePlan Technologies,3050000.0,233384724.0
Gaston Labs,100000.0,57933192.0
Geosho,387803.0,140351726.0
Get Smart Content,2195948.0,83218390.0
GetOutfitted,273137.0,85699097.0
Giftango,6400000.0,233384724.0
Global Data Management Software,300000.0,140351726.0
Global Silicon,10000000.0,57232377.0
Go Kin Packs,15000.0,85699097.0
Gobooks,325000.0,85699097.0
Golfshop Online,35000.0,83218390.0
Good Times Restaurants,5500000.0,15159444.0
Grand Circus,1250000.0,85699097.0
Greenlots,7000000.0,193517126.0
Greenplum Software,92899155.0,232450100.0
GridGain Systems,12500000.0,233384724.0
Guardian EMS Products,575000.0,83218390.0
HTG Molecular Diagnostics,47232377.0,57232377.0
Harbor Wing Technologies,186200.0,232450100.0
HeTexted,900000.0,57933192.0
HealthSpring,3700000.0,267984558.0
Hello Local Media ( HLM ),50000.0,57933192.0
Hemophilia Resources of America,0.0,20390000.0
Hightower,8620000.0,85699097.0
Hipscan,100000.0,140351726.0
Hobzy,232629.0,83218390.0
Hollywood Vision Center,700.0,700.0
Hot Potato,1420000.0,269323800.0
IMVU,29000000.0,259642822.0
IP Commerce,44028672.0,233384724.0
Innovate2,0.0,57933192.0
Innoveer Solutions (now Cloud Sherpas),1900000.0,7878637.0
Instablogs,0.0,233384724.0
Integral Ad Science,49750000.0,269323800.0
Integrated Medical Partners,3000000.0,193517126.0
Intellicyt,12000000.0,323702085.0
Invivodata,13098401.0,30408401.0
JDLab,1000000.0,85699097.0
Jackson Square Group,0.0,140351726.0
JethroData,4500000.0,57933192.0
JobApp,0.0,57232377.0
Jugo,195780.0,57933192.0
KODA,4500000.0,193517126.0
Kamida,584269.0,323702085.0
Kato,1878000.0,85699097.0
Kaufmann Mercantile,3200000.0,269323800.0
"Kibboko, Inc.",2500000.0,193517126.0
Kik,65800000.0,269323800.0
Kingdom Scene Endeavors,3365000.0,269323800.0
KnowRe,8600000.0,57933192.0
Knowthena,150000.0,83218390.0
Kopo Kopo,6359922.0,140351726.0
Kynogon,3000000.0,267984558.0
Lecturio,3859800.0,193517126.0
Legal River,0.0,269323800.0
LegalSherpa,50000.0,140351726.0
LeisureLogix,5900000.0,323702085.0
Lendio,12500000.0,323702085.0
Linea,4000000.0,83218390.0
LinkCloud,133150.0,140351726.0
Linktone,0.0,305740992.0
Locally,0.0,57933192.0
Londons Holiday Apartments,163890.0,83218390.0
LoopPay,13000000.0,85699097.0
Lucibel,33378639.0,193517126.0
LucidMedia,18734312.0,305740992.0
MONOQI,0.0,83218390.0
MOTA Motors,9500000.0,193517126.0
"Madison Reed, Inc.",16000000.0,85699097.0
Mango Bay Vacation Rentals,0.0,37600600.0
Manicube,5000000.0,57933192.0
Map Decisions,13200.0,57933192.0
Masterson Industries,0.0,57933192.0
MavenHut,736443.0,57933192.0
Meal Ticket,1728000.0,269323800.0
Medical Connections,51050.0,56731791.0
MeisterLabs,0.0,227829943.0
MemberPlanet,2500000.0,83218390.0
Mentor Me,175000.0,57933192.0
Metwit,25000.0,57933192.0
Mezmeriz,2097106.0,323702085.0
Michigan Home Brokers,0.0,140351726.0
Microbial Solutions,2341991.0,227829943.0
Micron Technology,50410400.0,50410400.0
MindBodyGreen,1870000.0,269323800.0
Mirics Semiconductor,52548106.0,259642822.0
Mob Science,1500000.0,193517126.0
MobileDataforce,1000000.0,267984558.0
Mojo Labs Co.,34468.0,140351726.0
"NephoScale, Inc.",1000000.0,140351726.0
Nerdies,21000.0,85699097.0
Network,3000000.0,85699097.0
Newlight Technologies,9200000.0,232450100.0
Newsflare,82945.0,83218390.0
Nifti,800000.0,57933192.0
NinthDecimal,49256256.0,232450100.0
"Nurture, Inc.",7631514.0,323702085.0
Nuvola,330000.0,85699097.0
OGIO International,5000000.0,30408401.0
Offbeat Guides,0.0,227829943.0
Ogden Tomotherapy,676708.0,83218390.0
Ombitron,256960.0,85699097.0
OnlineSheetMusic,2157896.0,83218390.0
Onset Financial,7700000.0,193517126.0
Open Kernel Labs,14264323.0,323702085.0
Opera Solutions,122199999.0,259642822.0
Optrace,100000.0,85699097.0
Orckit Communications,5000000.0,5000000.0
Organic Motion,10384999.0,323702085.0
Oriental-Creations,90000.0,323702085.0
Oviceversa,0.0,85699097.0
PV Evolution Labs,235000.0,269323800.0
Pacinian,350000.0,227829943.0
Pact,3355282.0,57933192.0
Pager,4500000.0,37600600.0
Panoratio,8168723.0,232450100.0
Partigi,132750.0,269323800.0
Phrixus Pharmaceuticals,100000.0,323702085.0
Pixonic,10000000.0,269323800.0
Planbox,0.0,269323800.0
Planday,3750000.0,85699097.0
PlaySquare,660000.0,83218390.0
Playdemic,4378812.0,140351726.0
PlayerPro,110000.0,57933192.0
Popularo,0.0,227829943.0
PresenceLearning,8000000.0,269323800.0
Project Dance,0.0,269323800.0
Prolexic Technologies,51900000.0,232450100.0
Prolify,4000000.0,56731791.0
Purple Labs,12670000.0,100975123.0
QBE,528124.0,193517126.0
QE Ventures,232845.0,267984558.0
RealConnex.com,2450000.0,57933192.0
Rebellion Photonics,10400000.0,269323800.0
RelayRides,62500000.0,193517126.0
Reonomy,4850000.0,85699097.0
Reputation Institute,0.0,57232377.0
Rivalry,550000.0,57933192.0
Roundscapes,500000.0,193517126.0
SBS Resources,0.0,37600600.0
SCS Group,159444.0,15159444.0
Sapheon,35771750.0,227829943.0
Saranas,50000.0,83218390.0
Scimetrika,40000000.0,100975123.0
Scivantage,59700000.0,267984558.0
Scripps Networks Interactive,10000000.0,10000000.0
Seafarers CV,0.0,85699097.0
Seekly,19000.0,83218390.0
SemiNex,839766.0,232450100.0
Sensegon,3350000.0,140351726.0
Sentri,125000.0,37600600.0
Sequenta,41460000.0,193517126.0
ShadesCases inc.,110000.0,227829943.0
SheFinds Media,1300000.0,259642822.0
ShiftForward,0.0,83218390.0
Shipizy,33350.0,57933192.0
ShopSpot,628000.0,57933192.0
Shoptimise,5812206.0,57933192.0
Shut Down,0.0,85699097.0
Silverback Systems,16000000.0,267984558.0
SimpleFi,3000000.0,57933192.0
Single Touch Systems,11169005.0,100975123.0
Siteminis,725000.0,227829943.0
Siva Power,15000000.0,323702085.0
Skylight Healthcare Systems,15950000.0,305740992.0
Skyway Software,4000000.0,100975123.0
Snow & Alps,1286600.0,57933192.0
Sonendo,79349874.0,323702085.0
Spikes Cavell & Co,7966840.0,10716840.0
Spinifex Pharmaceuticals,64000000.0,233384724.0
Stackops,457104.0,83218390.0
Stroz Friedberg,30000000.0,267984558.0
SunCoast Renewable Energy,25000.0,57933192.0
Synarc,5000000.0,7878637.0
THERAVECTYS,28322112.0,233384724.0
TSAT Group,50000.0,85699097.0
TabbedOut,17510353.0,269323800.0
TayaSola,17000.0,227829943.0
The Deal Fair,70000.0,83218390.0
The Printers Inc,60824.0,57933192.0
Thename.is,20203.0,57933192.0
Three Squirrels E-commerce,6000000.0,57933192.0
TidePool,1500000.0,83218390.0
Todaytickets,0.0,85699097.0
Tokiva Technologies,0.0,227829943.0
Tolera Therapeutics,12323710.0,227829943.0
Toolwi,0.0,193517126.0
Trans Tasman Resources,11200000.0,227829943.0
TransLattice,19026410.0,227829943.0
Transaq,0.0,227829943.0
TraveDoc,100000.0,57933192.0
Trony Solar,20000000.0,20390000.0
TrueAbility,2750000.0,57933192.0
TunePatrol,20000.0,57933192.0
Twicketer,0.0,269323800.0
Umthunzi,0.0,83218390.0
Unruly ®,25000000.0,323702085.0
Up My Game,242718.0,269323800.0
UpTo,2924999.0,83218390.0
Upplication,469255.0,57933192.0
VMG Media,0.0,323702085.0
Velti,32034118.0,100975123.0
Verimatrix,46799996.0,305740992.0
Viajala,130000.0,85699097.0
VisConPro,480741.0,56731791.0
Visicon Technologies,1102000.0,100975123.0
Volantis Systems,7500000.0,267984558.0
Votizen,2250000.0,269323800.0
WayConnected,0.0,140351726.0
Web Design Giant Inc.,50000.0,140351726.0
Whistlestop,400000.0,83218390.0
Winkapp,0.0,85699097.0
Wit Dot Media Inc,0.0,57933192.0
X2 Biosystems,18023021.0,140351726.0
Xalam Investments,0.0,37600600.0
Xcell Medical,165500.0,37600600.0
YOYO Holdings,1300000.0,57933192.0
YouFetch,0.0,85699097.0
Zeto,38817.0,83218390.0
Zidisha,0.0,269323800.0
Zify,16600.0,37600600.0
Zila Networks,1000000.0,269323800.0
Zipline Medical,16000000.0,227829943.0
Zipongo,3528000.0,140351726.0
docBeat,1100000.0,140351726.0
eOn Communications,2750000.0,10716840.0
emids,13300000.0,305740992.0
emotion.me,975000.0,57933192.0
hotelsmap.com,5000.0,140351726.0
hyaqu,500000.0,83218390.0
iChange,2330500.0,193517126.0
iKaaz,0.0,57933192.0
iPerceptions,3650000.0,267984558.0
iStyle Inc.,0.0,305740992.0
inkSIG Digital,390000.0,20390000.0
ironSource,85000000.0,140351726.0
proteonomix,3804991.0,6304991.0
regrob.com,2000.0,193517126.0
shopkick,20000000.0,269323800.0
wpXtreme,132000.0,57933192.0
